name	x	y	z	size	group	type
Ch_01	61.817322	-88.330845	-31.696278	n/a		n/a
Ch_02	37.393438	-113.992014	9.133594	n/a		n/a
Ch_03	11.195634	-121.353998	24.409395	n/a		n/a
Ch_04	73.380424	-74.882004	-3.273537	n/a		n/a
Ch_05	57.830642	-89.010230	35.345900	n/a		n/a
Ch_06	18.726948	-99.442980	67.451569	n/a		n/a
Ch_07	80.796557	-49.654994	19.561967	n/a		n/a
Ch_08	63.768159	-57.679336	61.232706	n/a		n/a
Ch_09	21.236556	-64.361933	96.318435	n/a		n/a
Ch_10	78.230802	-9.921113	43.806393	n/a		n/a
Ch_11	48.930280	-8.962591	89.927520	n/a		n/a
Ch_12	41.122089	40.053736	74.004459	n/a		n/a
Ch_13	9.284176	43.490943	87.855248	n/a		n/a
Ch_14	30.275119	74.218279	33.305112	n/a		n/a
Ch_15	8.883264	77.266696	42.738172	n/a		n/a
Ch_16	-7.970333	77.473886	42.641412	n/a		n/a
Ch_17	-32.028006	73.654686	32.900827	n/a		n/a
Ch_18	-9.719351	43.724564	87.746144	n/a		n/a
Ch_19	-42.365528	40.189256	73.493921	n/a		n/a
Ch_20	-49.955865	-4.579210	89.470796	n/a		n/a
Ch_21	-77.123888	-5.219344	48.447216	n/a		n/a
Ch_22	-23.652303	-62.477977	97.034298	n/a		n/a
Ch_23	-65.071800	-57.080572	62.092717	n/a		n/a
Ch_24	-82.007168	-49.345270	20.527781	n/a		n/a
Ch_25	-21.334575	-99.377951	67.206588	n/a		n/a
Ch_26	-58.964269	-90.066753	34.588017	n/a		n/a
Ch_27	-74.085755	-76.215978	-4.230445	n/a		n/a
Ch_28	-14.954039	-121.032526	24.259263	n/a		n/a
Ch_29	-40.785852	-113.030913	8.684750	n/a		n/a
Ch_30	-62.368121	-89.796596	-30.554328	n/a		n/a
